Value,Disaggregation combinations using this value,Number of indicators
Ixhuatlán de Madero,15,2
Ixhuatlán del Café,15,2
Ixhuatlán del Sureste,15,2
Ixhuatán,15,2
Ixil,15,2
Ixmatlahuacan,15,2
Ixmiquilpan,15,2
Ixpantepec Nieves,15,2
Ixtacamaxtitlán,15,2
Ixtacomitán,15,2
Ixtacuixtla de Mariano Matamoros,15,2
Ixtaczoquitlán,15,2
Ixtapa,15,2
Ixtapaluca,15,2
Ixtapan de la Sal,15,2
Ixtapan del Oro,15,2
Ixtapangajoya,15,2
Ixtenco,15,2
Ixtepec,15,2
Ixtlahuaca,15,2
Ixtlahuacán de los Membrillos,15,2
Ixtlahuacán del Río,15,2
Ixtlahuacán,15,2
Ixtlán de Juárez,15,2
Ixtlán del Río,15,2
Ixtlán,15,2
Izamal,15,2
Iztacalco,15,2
Iztapalapa,15,2
Izúcar de Matamoros,15,2
Jacala de Ledezma,15,2
Jacona,15,2
Jala,15,2
Jalacingo,15,2
Jalapa,15,2
Jalcomulco,15,2
Jalostotitlán,15,2
Jalpa de Méndez,15,2
Jalpa,15,2
Jalpan de Serra,15,2
Jalpan,15,2
Jaltenco,15,2
Jaltocán,15,2
Jamapa,15,2
Jamay,15,2
Janos,15,2
Jantetelco,15,2
Jaral del Progreso,15,2
Jaumave,15,2
Jerez,15,2
Jerécuaro,15,2
Jesús Carranza,15,2
Jesús María,30,2
Jilotepec,30,2
Jilotlán de los Dolores,15,2
Jilotzingo,15,2
Jiménez del Teul,15,2
Jiménez,60,2
Jiquilpan,15,2
Jiquipilas,15,2
Jiquipilco,15,2
Jitotol,15,2
Jiutepec,15,2
Jocotepec,15,2
Jocotitlán,15,2
Jojutla,15,2
Jolalpan,15,2
Jonacatepec,15,2
Jonotla,15,2
Jonuta,15,2
Jopala,15,2
Joquicingo,15,2
José Azueta,15,2
José Joaquín de Herrera,15,2
José María Morelos,15,2
José Sixto Verduzco,15,2
Juan Aldama,15,2
Juan C. Bonilla,15,2
Juan Galindo,15,2
Juan N. Méndez,15,2
Juan R. Escudero,15,2
Juan Rodríguez Clara,15,2
Juanacatlán,15,2
Juchipila,15,2
Juchique de Ferrer,15,2
Juchitepec,15,2
Juchitlán,15,2
Juchitán,15,2
Julimes,15,2
Jungapeo,15,2
Juárez Hidalgo,15,2
Juárez,75,2
Jáltipan,15,2
Kanasín,15,2
Kantunil,15,2
Kaua,15,2
Kinchil,15,2
Kopomá,15,2
La Antigua,15,2
La Barca,15,2
La Colorada,15,2
La Compañía,15,2
La Concordia,15,2
La Cruz,15,2
La Grandeza,15,2
La Huacana,15,2
La Huerta,15,2
La Independencia,15,2
La Libertad,15,2
La Magdalena Contreras,15,2
La Magdalena Tlaltelulco,15,2
La Magdalena Tlatlauquitepec,15,2
La Manzanilla de la Paz,15,2
La Misión,15,2
La Paz,30,2
La Pe,15,2
La Perla,15,2
La Piedad,15,2
La Reforma,15,2
La Trinidad Vista Hermosa,15,2
La Trinitaria,15,2
La Unión de Isidoro Montes de Oca,15,2
La Yesca,15,2
Lafragua,15,2
Lagos de Moreno,15,2
Lagunillas,30,2
Lamadrid,15,2
Lampazos de Naranjo,15,2
Landa de Matamoros,15,2
Landero y Coss,15,2
Larráinzar,15,2
Las Choapas,15,2
Las Margaritas,15,2
Las Minas,15,2
Las Rosas,15,2
Las Vigas de Ramírez,15,2
Leonardo Bravo,15,2
Lerdo de Tejada,15,2
Lerdo,15,2
Lerma,15,2
León,15,2
Libres,15,2
Linares,15,2
Llera,15,2
Lolotla,15,2
Loma Bonita,15,2
Loreto,30,2
Los Aldamas,15,2
Los Cabos,15,2
Los Herreras,15,2
Los Ramones,15,2
Los Reyes de Juárez,15,2
Los Reyes,30,2
Luis Moya,15,2
Luvianos,15,2
Lázaro Cárdenas,45,2
López,15,2
Macuspana,15,2
Madera,15,2
Madero,15,2
Magdalena Apasco,15,2
Magdalena Jaltepec,15,2
Magdalena Mixtepec,15,2
Magdalena Ocotlán,15,2
Magdalena Peñasco,15,2
Magdalena Teitipac,15,2
Magdalena Tequisistlán,15,2
Magdalena Tlacotepec,15,2
Magdalena Yodocono de Porfirio Díaz,15,2
Magdalena Zahuatlán,15,2
Magdalena,45,2
Maguarichi,15,2
Mainero,15,2
Malinalco,15,2
Malinaltepec,15,2
Maltrata,15,2
Mama,15,2
